M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,55.615,74.879,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,2.5,0,0,0,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,2.80219,0,57.662,73.368,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,3.10437,0,60.076,72.564,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,3.26363,0,61.413,72.453,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.10938,0,144.314,72.453,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.32385,0,146.108,72.653,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.46992,0,147.308,72.925,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.77211,0,149.672,73.866,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,14.0743,0,151.629,75.491,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,14.37648,0,152.99,77.642,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,14.76759,0,153.656,80.867,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.6664,0,153.656,96.855,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,17.11166,0,152.793,100.503,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,17.31754,0,152.016,102.053,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,17.61973,0,150.534,104.121,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,17.81613,0,149.26,105.175,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,22.30585,0,117.826,126.175,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,22.60804,0,115.515,127.24,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,22.87333,0,113.303,127.547,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,25.25255,0,93.27,127.547,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,25.55474,0,90.756,127.149,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,25.82003,0,88.746,126.175,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,30.30975,0,57.312,105.175,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,30.45777,0,56.332,104.405,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,30.60521,0,55.417,103.566,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,30.9074,0,53.834,101.575,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,31.20958,0,52.942,99.191,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,31.4037,0,52.778,97.565,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,33.30251,0,52.778,81.577,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,33.74778,0,53.641,77.929,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,33.87819,0,54.133,76.947,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,34.17325,0,55.58,74.927,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,56.201,75.302,0,0,0,No
