M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.3,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,69.164,67.871,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,2.5,0,0,0,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,2.68088,0,71.488,66.482,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,2.92006,0,75,65.786,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.26033,0,125,65.786,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.44122,0,127.678,66.184,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.6221,0,130.125,67.343,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.80298,0,132.129,69.164,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.98386,0,133.518,71.488,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.22304,0,134.214,75,0,0,0,No
