M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.3,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,84.21,83.19,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,2.5,0,0,0,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,2.66426,0,86.212,81.763,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,2.89442,0,89.568,80.983,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,4.32415,0,110.969,80.983,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,4.48841,0,113.396,81.38,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,4.65267,0,115.568,82.531,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,4.81693,0,117.261,84.315,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,5.0221,0,118.439,87.151,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,5.162,0,118.835,89.207,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,5.25856,0,118.972,90.646,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.58978,0,118.972,110.573,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.82376,0,118.166,113.981,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.88632,0,117.746,114.819,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.05058,0,116.304,116.81,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.21484,0,114.301,118.237,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.445,0,110.946,119.017,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.87473,0,89.544,119.017,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.03899,0,87.118,118.62,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.20325,0,84.945,117.469,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.30434,0,83.837,116.439,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.39625,0,82.927,115.406,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.5605,0,81.621,113.323,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.76122,0,81.028,110.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.09243,0,81.028,90.451,0,0,0,No
