M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.6,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,87.082,85.153,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,2.5,0,0,0,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,2.72227,0,88.753,84.31,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,2.85577,0,89.868,84.167,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,5.29992,0,110.448,84.167,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,5.5222,0,112.277,84.563,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,5.75927,0,113.862,85.776,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,5.9299,0,114.777,86.884,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.15217,0,115.637,88.546,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.29084,0,115.791,89.703,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.72913,0,115.791,110.234,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.97129,0,115.321,112.218,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.1268,0,114.735,113.389,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.34908,0,113.561,114.847,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.57135,0,111.891,115.69,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.70484,0,110.776,115.833,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.32358,0,88.726,115.833,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.54586,0,86.897,115.437,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.76813,0,85.394,114.321,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.9904,0,84.487,112.685,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.12743,0,84.3,111.546,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.47184,0,84.209,108.647,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,15.56181,0,84.209,91.05,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,15.80397,0,84.679,89.066,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.13002,0,85.909,86.611,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.34517,0,87.045,85.2,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,87.647,85.619,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,16.62312,0,89.868,84.881,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,19.06728,0,110.448,84.881,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,19.27062,0,112.114,85.276,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,19.45253,0,113.311,86.231,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,19.62316,0,114.226,87.338,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,19.92163,0,115.076,89.703,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,22.35993,0,115.076,110.234,0,0,0,No
