M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.3,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,71.788,102.208,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,2.5,0,0,0,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,2.66426,0,74.019,101.173,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,2.80215,0,76.064,100.893,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.00029,0,123.936,100.893,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.16455,0,126.363,101.29,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.32881,0,128.536,102.441,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.49307,0,130.228,104.224,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.65733,0,131.263,106.455,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.79522,0,131.543,108.5,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.12925,0,131.543,113.5,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.2935,0,131.146,115.926,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.45776,0,129.995,118.099,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.62202,0,128.212,119.791,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.78628,0,125.981,120.826,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.92417,0,123.936,121.106,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.12231,0,76.064,121.106,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.28657,0,73.637,120.709,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.45083,0,71.464,119.558,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.61509,0,69.772,117.775,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.77935,0,68.737,115.545,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.91724,0,68.457,113.5,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.25127,0,68.457,108.5,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.41552,0,68.854,106.073,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.57978,0,70.005,103.9,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.74003,0,71.745,102.249,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,72.304,102.51,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,12.89836,0,74.494,101.605,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.00386,0,76.064,101.428,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.202,0,123.936,101.428,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.36033,0,126.273,101.825,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.51866,0,128.347,102.972,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.67699,0,129.925,104.74,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.83532,0,130.831,106.93,0,0,0,No
