M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,195,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,54.064,81.088,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,2.5,0,0,0,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,2.80219,0,56.329,79.93,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,3.09855,0,58.792,79.528,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.11686,0,101.045,79.188,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.8791,0,141.143,79.188,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.18129,0,143.656,79.585,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.48348,0,145.924,80.739,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.78566,0,147.724,82.537,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,14.08785,0,148.883,84.802,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,14.39189,0,149.285,87.33,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,17.36102,0,149.285,112.33,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,17.66321,0,148.888,114.843,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,17.96539,0,147.734,117.111,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,18.26758,0,145.936,118.912,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,18.56977,0,143.671,120.07,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,18.86613,0,141.208,120.472,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,23.88444,0,98.955,120.812,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,28.64668,0,58.857,120.812,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,28.94887,0,56.344,120.415,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,29.25106,0,54.076,119.261,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,29.55324,0,52.276,117.463,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,29.85543,0,51.117,115.198,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,30.15947,0,50.715,112.67,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,33.1286,0,50.715,87.67,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,33.43079,0,51.112,85.157,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,33.73297,0,52.266,82.889,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,34.02803,0,54.021,81.13,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,54.754,81.477,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,34.31658,0,56.972,80.485,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,34.53534,0,58.798,80.242,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,39.55364,0,101.05,79.902,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,44.3152,0,141.143,79.902,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,44.60375,0,143.539,80.299,0,0,0,No
