M107,M220,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
0,0,0,0,0,0,1,0,0,0,0,0,21.33287,0,114.213,85.004,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,21.48504,0,115.672,86.753,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,21.70947,0,116.536,90,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,23.04558,0,116.536,110,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,23.19775,0,116.139,112.243,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,23.34992,0,114.996,114.213,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,23.50209,0,113.247,115.672,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,23.72652,0,110,116.536,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,25.06263,0,90,116.536,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,25.2148,0,87.757,116.139,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,25.36697,0,85.787,114.996,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,25.51914,0,84.328,113.247,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,25.74357,0,83.464,110,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,27.07968,0,83.464,90,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,27.23185,0,83.861,87.757,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,27.38001,0,84.974,85.838,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,26.38001,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,109.7,109.7,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,2.5,0,0,0,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,3.79602,0,90.3,109.7,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,5.09205,0,90.3,90.3,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.38807,0,109.7,90.3,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.68009,0,109.7,109.64,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,109.378,90.889,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,7.70577,0,109.111,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.75811,0,108.341,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.85782,0,109.378,91.659,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.91016,0,109.378,92.43,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.08389,0,107.57,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.13624,0,106.8,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.38399,0,109.378,93.2,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.43634,0,109.378,93.97,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.75812,0,106.03,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,8.81047,0,105.259,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.20627,0,109.378,94.741,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.25862,0,109.378,95.511,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.72845,0,104.489,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,9.7808,0,103.718,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,10.32466,0,109.378,96.282,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,10.377,0,109.378,97.052,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,10.99489,0,102.948,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.04723,0,102.178,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.73914,0,109.378,97.822,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,11.79149,0,109.378,98.593,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.55742,0,101.407,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,12.60977,0,100.637,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.44973,0,109.378,99.363,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,13.50207,0,109.378,100.134,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,14.41606,0,99.866,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,14.46841,0,99.096,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,15.45642,0,109.378,100.904,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,15.50877,0,109.378,101.674,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.57081,0,98.326,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,16.62315,0,97.555,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,17.75922,0,109.378,102.445,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,17.81156,0,109.378,103.215,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,19.02166,0,96.785,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,19.074,0,96.014,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,20.35812,0,109.378,103.986,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,20.41046,0,109.378,104.756,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,21.76861,0,95.244,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,21.82095,0,94.474,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,23.25312,0,109.378,105.526,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,23.30546,0,109.378,106.297,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,24.81166,0,93.703,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,24.864,0,92.933,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,26.44423,0,109.378,107.067,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,26.49657,0,109.378,107.838,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,28.15082,0,92.162,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,28.20316,0,91.392,90.622,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,29.93143,0,109.378,108.608,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,29.98244,0,109.358,109.358,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,31.78089,0,90.642,90.642,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,31.8319,0,90.622,91.392,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,33.56017,0,108.608,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,33.61251,0,107.838,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,35.26675,0,90.622,92.162,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,35.3191,0,90.622,92.933,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,36.89932,0,107.067,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,36.95166,0,106.297,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,38.45785,0,90.622,93.703,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,38.5102,0,90.622,94.474,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,39.94236,0,105.526,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,39.99471,0,104.756,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,41.35285,0,90.622,95.244,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,41.40519,0,90.622,96.014,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,42.68931,0,103.986,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,42.74165,0,103.215,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,43.95174,0,90.622,96.785,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,44.00409,0,90.622,97.555,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,45.14015,0,102.445,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,45.19249,0,101.674,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,46.25453,0,90.622,98.326,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,46.30687,0,90.622,99.096,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,47.29489,0,100.904,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,47.34723,0,100.134,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,48.26122,0,90.622,99.866,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,48.31356,0,90.622,100.637,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,49.15352,0,99.363,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,49.20586,0,98.593,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,49.9718,0,90.622,101.407,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,50.02414,0,90.622,102.178,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,50.71605,0,97.822,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,50.7684,0,97.052,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,51.38628,0,90.622,102.948,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,51.43862,0,90.622,103.718,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,51.98248,0,96.282,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,52.03482,0,95.511,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,52.50465,0,90.622,104.489,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,52.557,0,90.622,105.259,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,52.9528,0,94.741,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,53.00515,0,93.97,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,53.32693,0,90.622,106.03,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,53.37927,0,90.622,106.8,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,53.62702,0,93.2,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,53.67937,0,92.43,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,53.85309,0,90.622,107.57,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,53.90544,0,90.622,108.341,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,54.00514,0,91.659,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,54.05748,0,90.889,109.378,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,54.08316,0,90.622,109.111,0,0,0,No
0,0,220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,No
0,0,0,0,0,4800,1,0.5,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,109.8,109.8,0,0,0,No
