M107,M190,S,M104,G28,F,G1,Z,M109,G21,G90,M82,E,G92,X,Y,M140,M106,M84,Malicious
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,1,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,210,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,50,1,0.4,0,0,0,0,0,0,0,0,0,0,0,No
0,0,210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0.3,0,0,0,0,0,0,0,0,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,-1,0,0,0,0,0,0,No
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,No
0,0,0,0,0,4800,1,0,0,0,0,0,0,0,64.664,84.371,0,0,0,No
0,0,0,0,0,3600,1,0,0,0,0,0,2.5,0,0,0,0,0,0,No
0,0,0,0,0,1800,1,0,0,0,0,0,2.68088,0,66.988,82.982,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,2.92006,0,70.5,82.286,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,6.86158,0,129.5,82.286,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.04246,0,132.178,82.684,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.22334,0,134.625,83.843,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.40423,0,136.629,85.664,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.58511,0,138.018,87.988,0,0,0,No
0,0,0,0,0,0,1,0,0,0,0,0,7.82429,0,138.714,91.5,0,0,0,No
